timestamp,norm_min_cpu,norm_max_cpu,norm_avg
1/1/2017 0:00,0.2283,0.2346,0.2314
1/1/2017 0:05,0.2023,0.2282,0.2152
1/1/2017 0:10,0.2120,0.2286,0.2203
1/1/2017 0:15,0.1809,0.2137,0.1973
1/1/2017 0:20,0.1807,0.2114,0.1960
1/1/2017 0:25,0.1857,0.2703,0.2280
1/1/2017 0:30,0.1728,0.2210,0.1969
1/1/2017 0:35,0.1502,0.2056,0.1779
1/1/2017 0:40,0.1460,0.2043,0.1752
1/1/2017 0:45,0.1471,0.2110,0.1790
1/1/2017 0:50,0.1416,0.2090,0.1753
1/1/2017 0:55,0.1746,0.2213,0.1980
1/1/2017 1:00,0.1459,0.2071,0.1765
1/1/2017 1:05,0.1386,0.1908,0.1647
1/1/2017 1:10,0.1332,0.1851,0.1592
1/1/2017 1:15,0.1235,0.1810,0.1522
1/1/2017 1:20,0.1315,0.1666,0.1491
1/1/2017 1:25,0.1348,0.2117,0.1733
1/1/2017 1:30,0.1449,0.2056,0.1752
1/1/2017 1:35,0.1421,0.2007,0.1714
1/1/2017 1:40,0.1261,0.1799,0.1530
1/1/2017 1:45,0.1171,0.1596,0.1383
1/1/2017 1:50,0.1115,0.1561,0.1338
1/1/2017 1:55,0.1162,0.1696,0.1429
1/1/2017 2:00,0.1336,0.1558,0.1447
1/1/2017 2:05,0.1272,0.1803,0.1537
1/1/2017 2:10,0.1403,0.1737,0.1570
1/1/2017 2:15,0.0956,0.1625,0.1290
1/1/2017 2:20,0.0870,0.1365,0.1117
1/1/2017 2:25,0.0987,0.1931,0.1459
1/1/2017 2:30,0.1167,0.1677,0.1422
1/1/2017 2:35,0.1094,0.1667,0.1381
1/1/2017 2:40,0.1052,0.1540,0.1296
1/1/2017 2:45,0.0879,0.1356,0.1117
1/1/2017 2:50,0.0834,0.1197,0.1016
1/1/2017 2:55,0.0835,0.1486,0.1161
1/1/2017 3:00,0.0930,0.1332,0.1131
1/1/2017 3:05,0.1018,0.1401,0.1210
1/1/2017 3:10,0.0924,0.1545,0.1235
1/1/2017 3:15,0.1021,0.1331,0.1176
1/1/2017 3:20,0.0957,0.1232,0.1094
1/1/2017 3:25,0.0811,0.1603,0.1207
1/1/2017 3:30,0.0788,0.1218,0.1003
1/1/2017 3:35,0.0754,0.1176,0.0965
1/1/2017 3:40,0.0809,0.1173,0.0991
1/1/2017 3:45,0.0686,0.1105,0.0896
1/1/2017 3:50,0.0684,0.1024,0.0854
1/1/2017 3:55,0.0849,0.1232,0.1040
1/1/2017 4:00,0.0704,0.1121,0.0912
1/1/2017 4:05,0.0836,0.1127,0.0982
1/1/2017 4:10,0.1002,0.1332,0.1167
1/1/2017 4:15,0.1179,0.1425,0.1302
1/1/2017 4:20,0.1284,0.1403,0.1343
1/1/2017 4:25,0.1141,0.1896,0.1519
1/1/2017 4:30,0.0882,0.1441,0.1161
1/1/2017 4:35,0.0900,0.1333,0.1117
1/1/2017 4:40,0.0859,0.1348,0.1103
1/1/2017 4:45,0.0936,0.1295,0.1116
1/1/2017 4:50,0.0834,0.1231,0.1032
1/1/2017 4:55,0.0777,0.1287,0.1032
1/1/2017 5:00,0.0556,0.1074,0.0815
1/1/2017 5:05,0.0484,0.1112,0.0798
1/1/2017 5:10,0.0760,0.1388,0.1074
1/1/2017 5:15,0.0517,0.1368,0.0943
1/1/2017 5:20,0.0763,0.1415,0.1089
1/1/2017 5:25,0.0718,0.1727,0.1222
1/1/2017 5:30,0.0714,0.1393,0.1054
1/1/2017 5:35,0.0507,0.1208,0.0858
1/1/2017 5:40,0.0374,0.1195,0.0784
